Location,AgeGrp,PopMale,PopFemale,PopTotal
Afghanistan,0-19,10709.0,10197.0,20906.0
Afghanistan,20-39,5994.0,5574.0,11568.0
Afghanistan,40-59,2485.0,2316.0,4801.0
Afghanistan,60+,781.0,858.0,1639.0
Africa,0-19,344109.0,334982.0,679091.0
Africa,20-39,197448.0,197144.0,394592.0
Africa,40-59,94547.0,98460.0,193007.0
Africa,60+,33767.0,40123.0,73890.0
Albania,0-19,365.0,326.0,691.0
Albania,20-39,458.0,402.0,860.0
Albania,40-59,341.0,364.0,705.0
Albania,60+,290.0,312.0,602.0
Algeria,0-19,8373.0,8033.0,16406.0
Algeria,20-39,7002.0,6843.0,13845.0
Algeria,40-59,4618.0,4627.0,9245.0
Algeria,60+,2151.0,2185.0,4336.0
Andean Community,0-19,18849.0,18317.0,37166.0
Andean Community,20-39,18308.0,18260.0,36568.0
Andean Community,40-59,12428.0,13024.0,25452.0
Andean Community,60+,6450.0,7513.0,13963.0
Angola,0-19,9408.0,9368.0,18776.0
Angola,20-39,4423.0,4580.0,9003.0
Angola,40-59,1873.0,1999.0,3872.0
Angola,60+,548.0,647.0,1195.0
Antigua and Barbuda,0-19,12.0,12.0,24.0
Antigua and Barbuda,20-39,12.0,12.0,24.0
Antigua and Barbuda,40-59,11.0,12.0,23.0
Antigua and Barbuda,60+,4.0,4.0,8.0
Argentina,0-19,7422.0,7158.0,14580.0
Argentina,20-39,6745.0,6691.0,13436.0
Argentina,40-59,4902.0,5247.0,10149.0
Argentina,60+,2971.0,4042.0,7013.0
Armenia,0-19,416.0,368.0,784.0
Armenia,20-39,437.0,472.0,909.0
Armenia,40-59,314.0,398.0,712.0
Armenia,60+,216.0,322.0,538.0
Aruba,0-19,11.0,10.0,21.0
Aruba,20-39,10.0,11.0,21.0
Aruba,40-59,13.0,15.0,28.0
Aruba,60+,7.0,11.0,18.0
Australia,0-19,3300.0,3136.0,6436.0
Australia,20-39,3580.0,3510.0,7090.0
Australia,40-59,3176.0,3234.0,6410.0
Australia,60+,2631.0,2912.0,5543.0
Australia/New Zealand,0-19,3936.0,3741.0,7677.0
Australia/New Zealand,20-39,4228.0,4152.0,8380.0
Australia/New Zealand,40-59,3760.0,3870.0,7630.0
Australia/New Zealand,60+,3135.0,3479.0,6614.0
Austria,0-19,900.0,846.0,1746.0
Austria,20-39,1204.0,1151.0,2355.0
Austria,40-59,1292.0,1290.0,2582.0
Austria,60+,1033.0,1270.0,2303.0
Azerbaijan,0-19,1610.0,1407.0,3017.0
Azerbaijan,20-39,1704.0,1668.0,3372.0
Azerbaijan,40-59,1227.0,1331.0,2558.0
Azerbaijan,60+,514.0,659.0,1173.0
Bahamas,0-19,57.0,56.0,113.0
Bahamas,20-39,58.0,60.0,118.0
Bahamas,40-59,49.0,54.0,103.0
Bahamas,60+,18.0,23.0,41.0
Bahrain,0-19,206.0,190.0,396.0
Bahrain,20-39,578.0,233.0,811.0
Bahrain,40-59,259.0,134.0,393.0
Bahrain,60+,49.0,34.0,83.0
Bangladesh,0-19,30478.0,29164.0,59642.0
Bangladesh,20-39,28048.0,28225.0,56273.0
Bangladesh,40-59,18014.0,17639.0,35653.0
Bangladesh,60+,6708.0,6390.0,13098.0
Barbados,0-19,31.0,31.0,62.0
Barbados,20-39,36.0,36.0,72.0
Barbados,40-59,36.0,39.0,75.0
Barbados,60+,25.0,34.0,59.0
Belarus,0-19,1058.0,1009.0,2067.0
Belarus,20-39,1327.0,1276.0,2603.0
Belarus,40-59,1239.0,1388.0,2627.0
Belarus,60+,762.0,1366.0,2128.0
Belgium,0-19,1345.0,1266.0,2611.0
Belgium,20-39,1462.0,1424.0,2886.0
Belgium,40-59,1584.0,1530.0,3114.0
Belgium,60+,1345.0,1615.0,2960.0
Belize,0-19,77.0,75.0,152.0
Belize,20-39,65.0,67.0,132.0
Belize,40-59,36.0,36.0,72.0
Belize,60+,12.0,12.0,24.0
Benin,0-19,3231.0,3141.0,6372.0
Benin,20-39,1750.0,1743.0,3493.0
Benin,40-59,794.0,836.0,1630.0
Benin,60+,270.0,339.0,609.0
Bhutan,0-19,131.0,127.0,258.0
Bhutan,20-39,157.0,131.0,288.0
Bhutan,40-59,78.0,66.0,144.0
Bhutan,60+,35.0,29.0,64.0
Bolivia (Plurinational State of),0-19,2378.0,2280.0,4658.0
Bolivia (Plurinational State of),20-39,1856.0,1820.0,3676.0
Bolivia (Plurinational State of),40-59,1051.0,1068.0,2119.0
Bolivia (Plurinational State of),60+,563.0,639.0,1202.0
Bosnia and Herzegovina,0-19,327.0,310.0,637.0
Bosnia and Herzegovina,20-39,439.0,418.0,857.0
Bosnia and Herzegovina,40-59,468.0,477.0,945.0
Bosnia and Herzegovina,60+,362.0,459.0,821.0
Botswana,0-19,510.0,498.0,1008.0
Botswana,20-39,372.0,391.0,763.0
Botswana,40-59,186.0,218.0,404.0
Botswana,60+,62.0,96.0,158.0
Brazil,0-19,30744.0,29489.0,60233.0
Brazil,20-39,34383.0,34195.0,68578.0
Brazil,40-59,26103.0,27775.0,53878.0
Brazil,60+,13195.0,16653.0,29848.0
Brunei Darussalam,0-19,66.0,62.0,128.0
Brunei Darussalam,20-39,76.0,66.0,142.0
Brunei Darussalam,40-59,59.0,54.0,113.0
Brunei Darussalam,60+,16.0,18.0,34.0
Bulgaria,0-19,685.0,646.0,1331.0
Bulgaria,20-39,850.0,792.0,1642.0
Bulgaria,40-59,1015.0,988.0,2003.0
Bulgaria,60+,812.0,1137.0,1949.0
Burkina Faso,0-19,5893.0,5683.0,11576.0
Burkina Faso,20-39,2988.0,2944.0,5932.0
Burkina Faso,40-59,1222.0,1338.0,2560.0
Burkina Faso,60+,331.0,483.0,814.0
Burundi,0-19,3317.0,3276.0,6593.0
Burundi,20-39,1767.0,1797.0,3564.0
Burundi,40-59,588.0,648.0,1236.0
Burundi,60+,218.0,261.0,479.0
Cabo Verde,0-19,101.0,100.0,201.0
Cabo Verde,20-39,100.0,92.0,192.0
Cabo Verde,40-59,55.0,53.0,108.0
Cabo Verde,60+,13.0,22.0,35.0
Cambodia,0-19,3371.0,3256.0,6627.0
Cambodia,20-39,2980.0,3023.0,6003.0
Cambodia,40-59,1312.0,1502.0,2814.0
Cambodia,60+,491.0,765.0,1256.0
Cameroon,0-19,7066.0,6952.0,14018.0
Cameroon,20-39,3980.0,3968.0,7948.0
Cameroon,40-59,1702.0,1724.0,3426.0
Cameroon,60+,518.0,615.0,1133.0
Canada,0-19,4062.0,3877.0,7939.0
Canada,20-39,5233.0,5138.0,10371.0
Canada,40-59,5008.0,5017.0,10025.0
Canada,60+,4418.0,4970.0,9388.0
Caribbean,0-19,7077.0,6796.0,13873.0
Caribbean,20-39,6446.0,6410.0,12856.0
Caribbean,40-59,5003.0,5314.0,10317.0
Caribbean,60+,2959.0,3510.0,6469.0
Central African Republic,0-19,1355.0,1342.0,2697.0
Central African Republic,20-39,668.0,669.0,1337.0
Central African Republic,40-59,276.0,294.0,570.0
Central African Republic,60+,86.0,122.0,208.0
Chad,0-19,4762.0,4724.0,9486.0
Chad,20-39,2277.0,2269.0,4546.0
Chad,40-59,857.0,876.0,1733.0
Chad,60+,292.0,346.0,638.0
Channel Islands,0-19,16.0,16.0,32.0
Channel Islands,20-39,21.0,20.0,41.0
Channel Islands,40-59,23.0,23.0,46.0
Channel Islands,60+,15.0,19.0,34.0
Chile,0-19,2501.0,2416.0,4917.0
Chile,20-39,3012.0,2925.0,5937.0
Chile,40-59,2429.0,2499.0,4928.0
Chile,60+,1474.0,1838.0,3312.0
China,0-19,180228.0,157041.0,337269.0
China,20-39,215583.0,198390.0,413973.0
China,40-59,222768.0,215527.0,438295.0
China,60+,119660.0,130106.0,249766.0
Colombia,0-19,7935.0,7593.0,15528.0
Colombia,20-39,8363.0,8291.0,16654.0
Colombia,40-59,5679.0,6312.0,11991.0
Colombia,60+,2998.0,3691.0,6689.0
Comoros,0-19,216.0,209.0,425.0
Comoros,20-39,135.0,131.0,266.0
Comoros,40-59,62.0,63.0,125.0
Comoros,60+,17.0,21.0,38.0
Congo,0-19,1434.0,1412.0,2846.0
Congo,20-39,776.0,774.0,1550.0
Congo,40-59,427.0,433.0,860.0
Congo,60+,109.0,136.0,245.0
Costa Rica,0-19,726.0,693.0,1419.0
Costa Rica,20-39,835.0,812.0,1647.0
Costa Rica,40-59,617.0,633.0,1250.0
Costa Rica,60+,355.0,401.0,756.0
Croatia,0-19,407.0,383.0,790.0
Croatia,20-39,514.0,494.0,1008.0
Croatia,40-59,563.0,570.0,1133.0
Croatia,60+,485.0,669.0,1154.0
Cuba,0-19,1255.0,1187.0,2442.0
Cuba,20-39,1506.0,1435.0,2941.0
Cuba,40-59,1744.0,1780.0,3524.0
Cuba,60+,1108.0,1289.0,2397.0
Curaçao,0-19,19.0,19.0,38.0
Curaçao,20-39,16.0,19.0,35.0
Curaçao,40-59,17.0,24.0,41.0
Curaçao,60+,14.0,21.0,35.0
Cyprus,0-19,139.0,130.0,269.0
Cyprus,20-39,194.0,181.0,375.0
Cyprus,40-59,153.0,157.0,310.0
Cyprus,60+,107.0,124.0,231.0
Czechia,0-19,1115.0,1056.0,2171.0
Czechia,20-39,1323.0,1258.0,2581.0
Czechia,40-59,1603.0,1544.0,3147.0
Czechia,60+,1223.0,1570.0,2793.0
Côte d'Ivoire,0-19,6954.0,6897.0,13851.0
Côte d'Ivoire,20-39,3903.0,3927.0,7830.0
Côte d'Ivoire,40-59,1784.0,1665.0,3449.0
Côte d'Ivoire,60+,650.0,579.0,1229.0
Dem. People's Republic of Korea,0-19,3571.0,3416.0,6987.0
Dem. People's Republic of Korea,20-39,3848.0,3716.0,7564.0
Dem. People's Republic of Korea,40-59,3648.0,3685.0,7333.0
Dem. People's Republic of Korea,60+,1530.0,2344.0,3874.0
Democratic Republic of the Congo,0-19,25444.0,25038.0,50482.0
Democratic Republic of the Congo,20-39,11939.0,11989.0,23928.0
Democratic Republic of the Congo,40-59,5383.0,5566.0,10949.0
Democratic Republic of the Congo,60+,1933.0,2248.0,4181.0
